Date,Merchant Name,Amount,Payment Method,Notes
01/08/2025,Zomato,350,UPI,Dinner
01/08/2025,Uber,120,UPI,Ride
02/08/2025,Netflix,499,Card,Subscription
02/08/2025,Blinkit,640,UPI,Groceries
03/08/2025,Amazon,1299,Card,Electronics
03/08/2025,Starbucks,450,Card,Coffee with friends
04/08/2025,Airtel,719,UPI,Mobile Recharge
05/08/2025,Swiggy,280,UPI,Lunch
05/08/2025,Spotify,119,Card,Subscription
06/08/2025,Local Kirana,150,Cash,Snacks
07/08/2025,Uber,310,UPI,Office Commute
08/08/2025,BookMyShow,760,UPI,Movie Tickets
10/08/2025,Zomato,520,UPI,Weekend Dinner
11/08/2025,Myntra,1850,Card,Clothing
12/08/2025,Gym Membership,2000,Card,Monthly Fee
14/08/2025,Blinkit,420,UPI,Groceries
15/08/2025,Petrol Pump,1000,Cash,Fuel
17/08/2025,Swiggy Instamart,310,UPI,Breakfast items
18/08/2025,Ola,180,UPI,Ride
20/08/2025,H&M,2499,Card,Shopping
22/08/2025,Zomato,190,UPI,Snacks
24/08/2025,Pharmacy,450,Cash,Medicines
25/08/2025,Adobe Creative Cloud,619,Card,Subscription
27/08/2025,Blinkit,890,UPI,Household Supplies
28/08/2025,Uber,140,UPI,Ride